nodes,edges,depth,max_breadth,mean_breadth,graph_id
10,9,2,8,4.5,g79ohx.pkl
3,2,1,2,2.0,gi0g9q.pkl
3,2,1,2,2.0,f21ol5.pkl
2,1,1,1,1.0,gdsufh.pkl
8,7,1,7,7.0,fe7k68.pkl
10,9,4,4,1.8,gl2qlj.pkl
10,9,4,4,1.5,gft4nr.pkl
10,9,2,8,4.5,g6haxj.pkl
5,4,2,3,2.0,gghogx.pkl
15,14,5,4,1.5555555555555556,fdiz7i.pkl
10,9,2,7,4.5,gaqeqw.pkl
10,9,2,8,4.5,gd1z1y.pkl
10,9,2,8,4.5,6lpikh.pkl
15,14,2,11,4.666666666666667,fhd42o.pkl
10,9,3,5,1.8,gleq7q.pkl
10,9,5,2,1.5,gek6uw.pkl
14,13,3,7,2.6,fes5kg.pkl
10,9,2,6,4.5,g6m61c.pkl
8,7,4,3,1.4,f6qe0s.pkl
15,14,4,5,2.0,f59jup.pkl
10,9,2,5,3.0,gf862m.pkl
10,9,2,7,3.0,ghluhu.pkl
15,14,3,9,2.3333333333333335,fzyo5v.pkl
10,9,6,2,1.125,f2193m.pkl
3,2,2,1,1.0,gcxp1l.pkl
10,9,5,4,1.5,ggsgqi.pkl
10,9,3,6,2.25,gfu09b.pkl
13,12,2,10,4.0,fg9567.pkl
10,9,2,7,4.5,gdo98x.pkl
10,9,2,8,4.5,ge29su.pkl
10,9,3,4,1.5,gko2yl.pkl
10,9,3,6,2.25,g64n9q.pkl
9,8,2,4,2.6666666666666665,ggw281.pkl
10,9,2,8,4.5,gd07ao.pkl
15,14,3,10,2.8,f86mlx.pkl
10,9,3,5,2.25,gh02tr.pkl
10,9,3,4,1.5,fc2ayp.pkl
10,9,2,8,4.5,gggere.pkl
10,9,2,6,2.25,geuqic.pkl
3,2,1,2,2.0,fekx8g.pkl
10,9,1,9,9.0,g9xo4t.pkl
8,7,1,7,7.0,f0olq1.pkl
15,14,3,9,2.3333333333333335,f7hju5.pkl
10,9,5,3,1.5,g7dra3.pkl
10,9,5,3,1.5,ghoovu.pkl
9,8,4,3,1.3333333333333333,f7op76.pkl
5,4,2,3,2.0,f35tsq.pkl
10,9,1,9,9.0,g70hze.pkl
15,14,2,10,3.5,fhz4a8.pkl
10,9,4,3,1.8,ghrvd3.pkl
20,19,5,5,1.9,f10lwv.pkl
10,9,5,3,1.2857142857142858,g8i4hv.pkl
4,3,1,3,3.0,gal62v.pkl
15,14,2,8,4.666666666666667,fjmm5q.pkl
15,14,7,3,1.2727272727272727,fal2r6.pkl
10,9,2,8,4.5,gjte70.pkl
18,17,3,10,2.4285714285714284,ey3glr.pkl
10,9,3,5,2.25,geqah5.pkl
9,8,3,5,2.0,f3591s.pkl
10,9,2,6,3.0,gldf09.pkl
10,9,3,5,1.8,gcmkvg.pkl
10,9,2,7,4.5,gilg7b.pkl
2,1,1,1,1.0,dr875w.pkl
10,9,2,8,4.5,gf2p64.pkl
10,9,2,8,4.5,glenxg.pkl
10,9,1,9,9.0,ghtoak.pkl
5,4,2,2,1.3333333333333333,ff0rw8.pkl
4,3,1,3,3.0,fgd9cb.pkl
3,2,1,2,2.0,g5yrv1.pkl
15,14,7,5,1.5555555555555556,fadl98.pkl
10,9,4,5,2.25,gdfde2.pkl
10,9,4,4,1.5,g3mww1.pkl
15,14,3,8,3.5,f5eje9.pkl
5,4,2,2,1.3333333333333333,f556ju.pkl
2,1,1,1,1.0,g85v97.pkl
10,9,2,7,3.0,gj8pq2.pkl
10,9,3,6,3.0,gc8ydl.pkl
10,9,2,6,2.25,gdtuj2.pkl
15,14,2,10,3.5,f9vl64.pkl
10,9,6,4,1.5,gj4eng.pkl
10,9,5,2,1.2857142857142858,gankdk.pkl
9,8,3,4,1.6,ff0wq7.pkl
10,9,1,9,9.0,gf46pu.pkl
5,4,1,4,4.0,giez2o.pkl
8,7,2,3,2.3333333333333335,fxx2mh.pkl
10,9,3,6,2.25,gawryu.pkl
4,3,3,1,1.0,fetgrh.pkl
10,9,3,6,2.25,gc6etr.pkl
2,1,1,1,1.0,ffjnkb.pkl
10,9,6,3,1.2857142857142858,gc14v2.pkl
2,1,1,1,1.0,fixz64.pkl
15,14,2,9,2.8,fyjjgh.pkl
15,14,7,5,2.0,fed89i.pkl
10,9,3,6,2.25,ged01v.pkl
7,6,5,2,1.2,fg82d9.pkl
10,9,2,8,4.5,gfyjf1.pkl
