nodes,edges,depth,max_breadth,mean_breadth,graph_id
36,35,4,9,3.1818181818181817,32709.pkl
82,81,5,28,3.0,24216.pkl
24,23,4,13,2.3,19174.pkl
38,37,7,5,2.0555555555555554,30945.pkl
62,61,7,10,2.772727272727273,30287.pkl
27,26,4,13,2.3636363636363638,10240.pkl
99,98,5,19,2.7222222222222223,14410.pkl
329,328,11,17,2.394160583941606,13672.pkl
33,32,5,8,2.2857142857142856,2590.pkl
107,106,7,10,2.5238095238095237,30344.pkl
604,603,10,27,2.383399209486166,1471.pkl
421,420,9,74,2.6751592356687897,4615.pkl
205,204,4,26,3.457627118644068,1221.pkl
5070,5069,0,76,2.351113172541744,9967.pkl
50,49,4,18,2.5789473684210527,16974.pkl
50,49,4,6,2.227272727272727,27131.pkl
403,402,15,59,2.3372093023255816,13112.pkl
34,33,4,20,2.75,28689.pkl
34,33,4,8,3.3,15495.pkl
17,16,4,8,2.6666666666666665,23492.pkl
364,363,11,15,2.226993865030675,18304.pkl
38,37,4,11,2.176470588235294,16827.pkl
40,39,5,18,2.6,14412.pkl
240,239,8,26,2.6263736263736264,30560.pkl
51,50,6,13,1.9230769230769231,9306.pkl
31,30,4,9,2.5,29353.pkl
719,718,10,64,2.689138576779026,1325.pkl
78,77,6,16,2.4838709677419355,30378.pkl
16,15,4,8,3.0,16060.pkl
238,237,5,35,3.0384615384615383,8653.pkl
363,362,10,30,2.305732484076433,9760.pkl
1072,1071,10,123,2.6379310344827585,801.pkl
40,39,4,23,3.5454545454545454,30076.pkl
78,77,5,20,2.40625,26929.pkl
158,157,7,10,2.3088235294117645,32619.pkl
32,31,4,11,2.066666666666667,16216.pkl
416,415,11,29,2.426900584795322,8522.pkl
17,16,4,7,2.2857142857142856,18191.pkl
141,140,6,24,2.8,15487.pkl
43,42,4,14,2.625,25727.pkl
20,19,4,8,2.111111111111111,27920.pkl
33,32,4,13,2.909090909090909,12952.pkl
26,25,4,10,2.272727272727273,13236.pkl
270,269,6,60,3.3209876543209877,18187.pkl
33,32,5,13,2.2857142857142856,9361.pkl
29,28,4,13,2.3333333333333335,10408.pkl
510,509,9,14,2.72192513368984,19119.pkl
192,191,6,26,3.4727272727272727,15955.pkl
21,20,4,9,2.2222222222222223,31266.pkl
36,35,4,9,2.6923076923076925,17820.pkl
17,16,3,11,3.2,9745.pkl
1155,1154,17,136,2.3551020408163263,14255.pkl
29,28,5,11,2.3333333333333335,22537.pkl
222,221,10,24,2.728395061728395,3871.pkl
1460,1459,8,149,3.0911016949152543,6351.pkl
82,81,5,8,2.53125,15795.pkl
32,31,4,16,2.8181818181818183,14191.pkl
51,50,4,13,3.125,9477.pkl
47,46,5,11,2.1904761904761907,24058.pkl
232,231,9,17,2.3333333333333335,8961.pkl
79,78,5,24,2.4375,25148.pkl
51,50,4,14,2.6315789473684212,19289.pkl
132,131,6,16,3.046511627906977,2222.pkl
27,26,4,11,2.6,23608.pkl
70,69,4,23,3.1363636363636362,13854.pkl
34,33,6,13,2.357142857142857,29896.pkl
100,99,7,14,2.152173913043478,22386.pkl
74,73,8,17,2.7037037037037037,6467.pkl
30,29,4,6,2.4166666666666665,29073.pkl
74,73,5,10,2.28125,23120.pkl
44,43,4,13,2.0476190476190474,16292.pkl
43,42,5,16,2.210526315789474,15464.pkl
35,34,6,12,2.2666666666666666,17722.pkl
100,99,5,19,3.413793103448276,30792.pkl
131,130,6,12,2.5,33048.pkl
462,461,14,65,2.2163461538461537,2219.pkl
2544,2543,18,69,2.258436944937833,921.pkl
275,274,7,10,2.424778761061947,29608.pkl
40,39,4,9,2.7857142857142856,29207.pkl
18,17,4,10,2.4285714285714284,19162.pkl
31,30,5,8,2.727272727272727,8678.pkl
69,68,7,8,2.2666666666666666,31279.pkl
49,48,5,18,2.6666666666666665,8559.pkl
1196,1195,16,45,2.4588477366255144,984.pkl
29,28,4,11,2.0,24078.pkl
266,265,8,14,2.1370967741935485,27064.pkl
141,140,5,32,2.413793103448276,8547.pkl
30,29,4,9,2.230769230769231,28043.pkl
76,75,5,23,2.8846153846153846,13057.pkl
49,48,6,16,2.2857142857142856,17261.pkl
14,13,3,8,2.1666666666666665,31301.pkl
223,222,8,17,2.49438202247191,28165.pkl
117,116,5,27,2.9,6525.pkl
63,62,5,10,2.48,31658.pkl
13,12,3,8,2.4,31570.pkl
25,24,4,10,2.1818181818181817,28999.pkl
12,11,3,8,2.75,5991.pkl
44,43,5,15,2.15,13307.pkl
21,20,4,5,2.0,30926.pkl
44,43,4,23,2.8666666666666667,13262.pkl
36,35,4,11,2.1875,22608.pkl
773,772,8,69,3.138211382113821,14478.pkl
1490,1489,16,224,2.567241379310345,2408.pkl
48,47,6,5,1.88,30703.pkl
55,54,5,9,2.347826086956522,29979.pkl
62,61,4,14,3.388888888888889,14152.pkl
33,32,5,13,2.2857142857142856,13286.pkl
18,17,2,4,3.4,18953.pkl
56,55,5,13,2.5,18510.pkl
186,185,7,29,2.5694444444444446,9060.pkl
148,147,6,37,2.625,12377.pkl
55,54,5,10,2.7,22969.pkl
282,281,10,10,2.4434782608695653,30281.pkl
152,151,8,26,2.603448275862069,11037.pkl
41,40,4,21,2.857142857142857,10068.pkl
570,569,10,70,2.8168316831683167,14035.pkl
